Gene,pearson
DUPD1,-0.00215
PLSCR4,-0.00212
GPT,-0.00212
DUSP2,-0.0021
CNOT6,-0.00209
BRAT1,-0.00207
ZNF439,-0.00206
ZNF736,-0.00203
C8orf34,-0.00202
POPDC3,-0.00201
BAAT,-0.00199
TNFRSF4,-0.00198
BSPH1,-0.00196
IGFLR1,-0.00196
RPS10,-0.00196
C14orf142,-0.00196
EXD3,-0.00195
HLA-C,-0.00192
NCAM2,-0.00192
CLRN1,-0.00191
USP29,-0.0019
POGLUT1,-0.00187
CCDC24,-0.00183
MSX1,-0.00183
DBH,-0.00182
PDHX,-0.0018
TGFB1,-0.00179
FBXW5,-0.00178
C2CD4B,-0.00177
ZMIZ2,-0.00177
SLC35G1,-0.00176
TMEM145,-0.00176
PCM1,-0.00174
C12orf75,-0.00168
PRKCDBP,-0.00168
CCDC116,-0.00165
WBSCR17,-0.00164
PCDHA12,-0.00163
SLC7A5,-0.00161
WDR27,-0.0016
HNRNPM,-0.0016
SLC22A16,-0.00158
NPAS1,-0.00154
NUDT14,-0.00149
FLG2,-0.00149
CD97,-0.00149
HLF,-0.00147
ASS1,-0.00146
WASL,-0.00146
UGT1A9,-0.00146
NOTCH1,-0.00142
PRKAB2,-0.00141
SFTPB,-0.00141
NCAN,-0.00136
DNAJC6,-0.00135
PLEKHF1,-0.00135
ASB2,-0.00135
PLEKHN1,-0.00135
CYB561D1,-0.00135
TTLL2,-0.00134
KRT20,-0.00134
KMT2B,-0.00133
HRNR,-0.00131
C17orf112,-0.0013
TRMT44,-0.0013
TLR10,-0.00127
MYH15,-0.00126
ICK,-0.00123
UNCX,-0.00122
AKNA,-0.0012
NDUFA8,-0.00119
MOB1A,-0.00117
XCL2,-0.00115
ZCCHC9,-0.00114
KIAA1462,-0.00114
PLAC8L1,-0.00114
SLITRK5,-0.00113
APOF,-0.00113
PBX2,-0.00112
TXNDC12,-0.00111
C10orf120,-0.0011
SCN2A,-0.0011
LRRC37A3,-0.00108
CTAGE9,-0.00108
RWDD4,-0.00108
GYPC,-0.00107
CCKAR,-0.00106
SERPINB13,-0.00105
STARD5,-0.001
TEKT5,-0.001
THPO,-0.001
ILKAP,-0.00098
PTGDR,-0.00097
DCXR,-0.00096
PIAS2,-0.00094
NDUFAF1,-0.00094
SULT1C3,-0.00093
PRSS58,-0.00091
SAMD11,-0.00091
LY6H,-0.0009
VEGFA,-0.00089
ANKRA2,-0.00087
CDK18,-0.00087
SEZ6,-0.00086
PTHLH,-0.00085
SMIM13,-0.00085
RHOT1,-0.00084
FGD6,-0.00084
ZNF709,-0.00081
SORBS3,-0.00081
PALMD,-0.00081
ZNF277,-0.00079
EHBP1,-0.00077
MYADM,-0.00076
SMIM5,-0.00075
LRIT2,-0.00074
TRIO,-0.00074
TRIM6,-0.00073
HIST2H2AC,-0.00071
POLR2H,-0.00071
HSF2BP,-0.00068
ADRA2A,-0.00067
THEMIS,-0.00066
SUN5,-0.00065
UTF1,-0.00065
CCDC87,-0.00065
POLQ,-0.00064
NKX2-8,-0.00063
MRAS,-0.00061
TMUB2,-0.0006
GALNS,-0.00059
ZDHHC12,-0.00059
NKAPL,-0.00058
ZGLP1,-0.00056
KRT26,-0.00055
MAP4,-0.00055
SPI1,-0.00053
APBB2,-0.00052
FBXL13,-0.00051
SIRPG,-0.00049
EBAG9,-0.00046
ENAH,-0.00045
MSMP,-0.00045
LMBRD2,-0.00042
ZNF343,-0.00042
AK3,-0.00041
LCP1,-0.0004
CACNB4,-0.00038
TOP2B,-0.00037
SLC25A34,-0.00037
PDXP,-0.00036
ARPC5L,-0.00034
HMHA1,-0.00033
KAT5,-0.00028
MPLKIP,-0.00027
ZNF705A,-0.00026
SMO,-0.00025
TTLL10,-0.00023
ZNF57,-0.00022
IFT52,-0.00021
MIDN,-0.00021
TSHZ2,-0.00021
KLC1,-0.00019
DBNDD1,-0.00017
SLC2A5,-0.00016
SRP9,-0.00016
PAGR1,-0.00016
KCNJ10,-0.00014
PIK3R5,-0.00013
NCLN,-0.00012
CLOCK,-9e-05
TCF21,-4e-05
TMC7,-4e-05
KCNN1,-3e-05
PACS2,-2e-05
HSD17B4,-2e-05
MORN5,1e-05
PPP5C,2e-05
CHRNA7,3e-05
ZNF280D,4e-05
VTN,4e-05
ZNF462,4e-05
KRTAP12-2,4e-05
MICAL2,5e-05
MS4A14,5e-05
TMOD2,8e-05
MYCL,9e-05
XPA,9e-05
ALS2CR12,0.00012
ATP6V1E1,0.00014
APOC4,0.00014
RSPH6A,0.00016
CASC4,0.0002
TMEM88,0.0002
REXO2,0.00021
RNF125,0.00024
MYLPF,0.00025
SHISA4,0.00026
SPATA16,0.00027
BAG3,0.00027
LMF2,0.00028
GPR52,0.00028
GABRD,0.00029
DNAJC12,0.00031
MEX3D,0.00032
UBE2D4,0.00032
FOXK1,0.00033
APBB3,0.00035
TMEM63C,0.00036
IQCE,0.00036
ITGA6,0.00037
LILRB3,0.00038
ITLN1,0.00039
FAM104A,0.0004
TM7SF2,0.00041
BCL2,0.00041
TECPR1,0.00042
HELZ2,0.00042
OSGEPL1,0.00043
NAV3,0.00045
SYCN,0.00046
PHF1,0.00047
RAB3IP,0.00047
AMHR2,0.00049
TBXAS1,0.00049
POLE3,0.00051
FAM63A,0.00051
GJA10,0.00053
SHE,0.00053
ALDH3B2,0.00056
DDX17,0.00056
GAST,0.00056
FBXO32,0.00056
G3BP1,0.00057
SLC25A21,0.00057
KCTD14,0.00059
ERAP2,0.00061
SEC22A,0.00064
APBA3,0.00066
ZBTB38,0.00067
TACSTD2,0.00068
COX10,0.00068
SMYD1,0.0007
CCDC158,0.0007
PTPRF,0.00071
S100A8,0.00071
CLPTM1,0.00072
DNAAF2,0.00074
C20orf194,0.00076
KLHL7,0.00078
ABCB8,0.0008
ERAP1,0.00082
PAN3,0.00085
ZXDC,0.00087
IPO5,0.00087
CORO2B,0.00088
PUS7,0.00091
ZNF589,0.00092
GFPT1,0.00092
CPLX3,0.00092
KLHL30,0.00093
PAPD4,0.00094
ARHGEF17,0.00096
ANTXRL,0.00096
HIST1H3F,0.00097
TTC31,0.00098
KLHL18,0.00098
SNX1,0.00101
SNTB1,0.00102
CA8,0.00102
MEI1,0.00102
TPPP2,0.00104
CYB5R3,0.00105
NTN4,0.00106
THAP8,0.00106
CUZD1,0.00108
CLDN7,0.00109
SLC35F5,0.0011
FTH1,0.00111
SATB2,0.00112
MMP25,0.00113
PICALM,0.00113
FBLN7,0.00114
GPN3,0.00115
IQCJ-SCHIP1,0.00117
DUSP5,0.0012
FDXACB1,0.0012
ARF1,0.00121
LMX1B,0.00122
ATP6V0E2,0.00123
CIDEA,0.00125
PHACTR4,0.00126
HIST1H3A,0.00128
RBFOX1,0.00129
ATP8A2,0.00131
TSNARE1,0.00131
CORT,0.00131
TCEA2,0.00133
ZFPM2,0.00133
AQP11,0.00133
INCA1,0.00134
CTBP2,0.00135
AGBL3,0.00136
HNRNPH3,0.00136
MIF4GD,0.00139
EPHB4,0.00143
MFSD3,0.00143
SLC39A2,0.00147
CD160,0.00147
STK10,0.00148
CYBRD1,0.00148
TAAR1,0.00149
JUNB,0.00149
SCN8A,0.00149
ART3,0.0015
HMX2,0.00151
PTPRM,0.00152
STH,0.00152
NUMBL,0.00153
CHKA,0.00154
ENDOD1,0.00154
MIS12,0.00158
ADCK5,0.00158
ARC,0.00159
OAZ1,0.0016
LCA5,0.0016
TRIM59,0.00161
C21orf140,0.00164
CLK1,0.00166
KLHL1,0.00166
THAP9,0.00167
DYNLRB2,0.00171
BRF2,0.00173
SLC35A3,0.00175
EZR,0.00176
SOX30,0.00176
FAM49B,0.00177
MLYCD,0.00178
PPL,0.00178
HERPUD1,0.00178
BAZ2A,0.0018
ALG10B,0.00183
LIPK,0.00184
NAT2,0.00184
TCTA,0.00184
ACSM1,0.00185
DCAF10,0.00185
RSF1,0.00188
PRG2,0.0019
CCDC85C,0.0019
SYCE2,0.00191
SNX7,0.00192
GLDN,0.00193
ADIPOR1,0.00194
DEFB113,0.00194
CCDC43,0.00199
GATS,0.002
C1GALT1,0.002
MTMR6,0.00201
DEFB125,0.00203
TBC1D4,0.00206
FCER1A,0.00207
PSD3,0.00207
S100A12,0.00208
WSCD2,0.00209
MSH2,0.00211
INO80,0.00213
HGSNAT,0.00213
SHC1,0.00214
CTCF,0.00214
STK33,0.00215
HPR,0.00215
ROPN1,0.00217
ADCY5,0.00217
MYH7B,0.00217
ITCH,0.00217
C4orf33,0.00218
CPT1A,0.00219
RAB24,0.00219
ITGA8,0.00221
RALA,0.00221
DNAJC13,0.00224
ZNF14,0.00224
SNAI3,0.00224
PRPS1L1,0.00225
CNNM4,0.00226
SLC14A1,0.00226
NRAP,0.00227
IFNG,0.00228
ATF4,0.00228
KCNV1,0.00229
BRAF,0.0023
CEBPA,0.0023
ALS2CR11,0.00232
BHLHE22,0.00234
TRIM6-TRIM34,0.00236
AK5,0.00237
PPP1R1C,0.00238
ZNF839,0.0024
TSPAN4,0.0024
COX6A1,0.00241
KLHL21,0.00242
PRRG2,0.00242
BCL3,0.00243
AGRN,0.00244
FAM71A,0.00249
DRD2,0.00249
DCST2,0.00251
HCRT,0.00251
KCNE1,0.00252
SLC39A3,0.00254
TMEM186,0.00255
TEKT4,0.00257
NR2F2,0.00258
VWA3B,0.0026
FADS1,0.0026
DPY19L3,0.00264
MICU2,0.00265
AP3M2,0.00266
DIAPH3,0.00266
DACT2,0.00266
C9orf142,0.00267
CDRT1,0.00267
C17orf104,0.00269
OLFML1,0.0027
STRBP,0.00271
ARHGAP28,0.00271
TTC13,0.00272
NRSN2,0.00272
CYP51A1,0.00273
CRADD,0.00273
CDH11,0.00274
ITGBL1,0.00274
ANO7,0.00275
PCCA,0.00276
BAIAP2L2,0.00276
CYP4A11,0.00276
RAD23B,0.00277
CSNK1G2,0.00278
CAMSAP1,0.00279
EHHADH,0.0028
MYO1A,0.00281
TGFBR3L,0.00282
AMTN,0.00282
CH25H,0.00282
KDELR3,0.00283
TSGA10,0.00283
ATP13A2,0.00284
ZBTB46,0.00286
MS4A3,0.00288
MDGA1,0.00289
VEZF1,0.0029
IGSF22,0.00292
FAAH,0.00292
ACSL6,0.00295
RTN4,0.00295
C5orf60,0.00295
RPAP2,0.00295
IQSEC3,0.00296
ARIH2,0.00297
TXK,0.00305
PRODH2,0.00306
SMC5,0.00307
SMAD4,0.00309
HEATR5B,0.00311
CNPY4,0.00312
FOXN3,0.00313
STX1A,0.00314
CBX5,0.00314
CNBP,0.00315
FAM117B,0.00315
MYEOV2,0.00315
C10orf32,0.00316
ISLR,0.00316
GPR114,0.00317
ZNF235,0.00317
MET,0.00319
SDSL,0.00319
SLC19A3,0.00321
TMEM225,0.00322
C15orf59,0.00323
DEFA4,0.00324
TMEM151B,0.00326
ARF6,0.00327
HOMER3,0.00328
PCIF1,0.00329
SAP30BP,0.0033
KIAA1683,0.00331
CDX2,0.00332
STK40,0.00333
MYO1G,0.00333
PTK6,0.00334
SUN1,0.00335
DEFA6,0.00336
PCDHB2,0.00337
NCMAP,0.00337
ATXN7,0.00338
SCIMP,0.00338
LRMP,0.00338
PSD2,0.0034
ADAMTS4,0.00341
EYA4,0.00343
RNF180,0.00345
MCRS1,0.00345
ABCG8,0.00347
EBLN2,0.00349
SLC25A15,0.00349
CELF5,0.0035
IFNA21,0.00352
GMPR,0.00354
VPS13B,0.00354
PFKM,0.00355
VTI1B,0.00356
RANBP3,0.00357
TLR9,0.00358
EDF1,0.00359
ST7,0.00359
GPR158,0.00361
DAZL,0.00362
CNPY2,0.00362
KRTCAP2,0.00362
LRRTM1,0.00364
AKAP8L,0.00365
C8orf88,0.00366
ARL6,0.00366
ADORA2A,0.00366
CHAT,0.00366
CHKB,0.00367
DDC,0.00367
PSG2,0.00368
CDC123,0.00369
TAS2R9,0.00369
HCN3,0.0037
MIER1,0.0037
NEK9,0.00371
C20orf24,0.00372
JAGN1,0.00373
EPB41L1,0.00373
ZFP3,0.00374
GPATCH2,0.00375
CRISP1,0.00377
ZNF510,0.00377
SLC12A3,0.00377
SLC45A4,0.00378
PTPN18,0.00379
PRPF38A,0.0038
CAPN13,0.00381
YIPF5,0.00381
KCNK10,0.00381
CYYR1,0.00381
SPSB4,0.00383
UPP1,0.00383
TBC1D28,0.00384
REXO1,0.00385
TMEM30B,0.00385
SLC46A3,0.00388
SLC2A1,0.00389
CNIH3,0.00389
KNCN,0.00389
ATXN2,0.00389
PPIG,0.00389
SECTM1,0.0039
ERP44,0.0039
GPS2,0.00391
CLEC18A,0.00391
MYL1,0.00392
HCAR2,0.00394
RAB15,0.00394
PDIA6,0.00394
CHD8,0.00395
C4orf22,0.00396
B3GNT2,0.00396
C1orf127,0.00397
DNMT3L,0.00397
GCHFR,0.00398
DNAJC8,0.00401
SKAP1,0.00405
OTUD4,0.00406
HOXA2,0.00406
SLC25A32,0.00408
IFNAR1,0.00408
PPIB,0.00408
CTSS,0.0041
ESF1,0.0041
TMEM98,0.00411
TTL,0.00411
PPP1CB,0.00413
OSBPL3,0.00415
SDPR,0.00415
ZNF827,0.00416
CHD2,0.00416
ATG16L2,0.00417
PRKAA1,0.00421
TDP1,0.00424
LRFN5,0.00424
S100A5,0.00425
B4GALT1,0.00425
POFUT1,0.00426
SCGN,0.00427
CCDC138,0.00427
ZNF521,0.00428
JUND,0.00429
LIFR,0.00432
SEC14L5,0.00432
AGPAT9,0.00432
BSDC1,0.00433
GRIN1,0.00433
RNF220,0.00435
HLA-DRA,0.00436
DOK5,0.00437
SMC1B,0.00437
PASK,0.00438
GABRA6,0.00438
MIS18BP1,0.00439
MKKS,0.00439
LRRK1,0.00442
SH3YL1,0.00443
INHA,0.00443
IFI44,0.00444
ZNF431,0.00445
SFRP1,0.00445
BEGAIN,0.00447
SIRT7,0.00448
ATR,0.00448
KERA,0.00449
C9orf172,0.00449
PLEKHG2,0.0045
GALNT9,0.00451
RORC,0.00451
CCDC82,0.00451
PAFAH1B3,0.00452
RNF10,0.00453
PLEKHS1,0.00454
C10orf35,0.00455
BMP1,0.00455
RNPEP,0.00457
NFIA,0.00458
UGGT1,0.00459
HSD17B14,0.00459
SNPH,0.00459
SLC6A5,0.0046
ATF5,0.00461
LNX2,0.00461
GPM6A,0.00462
ACOT8,0.00463
WIBG,0.00464
ANKRD24,0.00466
LRIT3,0.00468
PPIP5K2,0.00469
TBX19,0.0047
KIAA0930,0.0047
SDE2,0.0047
KCNV2,0.00471
KAZN,0.00471
DCLRE1B,0.00472
MTSS1L,0.00472
HYAL1,0.00473
TACO1,0.00477
SLC9A5,0.00479
HEXDC,0.0048
FUT7,0.00482
USP32,0.00483
RGS10,0.00483
ITGB3BP,0.00484
MMP19,0.00484
PFAS,0.00485
ATP1B2,0.00486
TRIM27,0.00491
RAD17,0.00491
CTSB,0.00492
NDRG4,0.00495
NTSR1,0.00495
ACMSD,0.00496
SLC30A10,0.00497
PCDHA6,0.00498
HS3ST6,0.00498
NEUROG3,0.00498
FAM20C,0.005
ATG2B,0.005
MAPK1,0.00501
HSD17B2,0.00501
SLC4A2,0.00502
WASF2,0.00506
HTR2A,0.00509
KLHL29,0.0051
FLOT2,0.00512
CYP2E1,0.00512
CCDC85B,0.00514
GJB7,0.00516
GRIK5,0.00517
CLTCL1,0.00517
TMEM240,0.00518
PIP4K2B,0.00518
KRTAP8-1,0.00518
TBX20,0.00518
CS,0.00519
ZC3H3,0.00519
KIAA1614,0.00521
SHROOM1,0.00521
BGLAP,0.00522
SLC22A14,0.00524
RBP3,0.00525
KRTAP4-9,0.00526
FOXK2,0.00526
ESR2,0.00529
PCSK1,0.0053
PRR15L,0.0053
FAM118B,0.0053
ARPP21,0.00531
UCN,0.00531
MLF1,0.00533
FAM221A,0.00533
RCAN1,0.00534
CTNND1,0.00534
NAMPT,0.00538
SPOCK1,0.00539
MMAB,0.00541
EBI3,0.00542
MRAP2,0.00544
CYP4F11,0.00544
PPP1R12C,0.00546
USP4,0.00546
EGR2,0.00548
KRT35,0.00548
SEPHS2,0.00549
ZBTB9,0.0055
FSTL3,0.00551
CPSF7,0.00551
EBLN1,0.00552
WDR38,0.00555
DENND5A,0.00556
WDR72,0.00558
RAB21,0.00558
C5orf45,0.00559
R3HDM2,0.00559
SERAC1,0.00561
CDH13,0.00562
VDAC1,0.00562
COPRS,0.00565
SGMS1,0.00565
PAM16,0.00565
CSNK1G1,0.00566
SERP2,0.00567
ETHE1,0.00568
SLC27A1,0.00572
BACH1,0.00572
SYNPO,0.00573
HLA-DPB1,0.00573
RRP12,0.00573
EIF4A3,0.00574
CRIP2,0.00574
PRKAG1,0.00575
ATP6V1G1,0.00576
RARB,0.00577
CLEC18B,0.00577
HOMEZ,0.00577
NT5DC2,0.00578
AGO1,0.00581
ZNRF4,0.00582
UBQLN3,0.00582
CNGA4,0.00582
MIER3,0.00583
SLC5A8,0.00584
KDELR1,0.00584
SPAG4,0.00584
DCTN4,0.00587
KCNRG,0.00587
ZNF862,0.00588
IGF2BP3,0.00589
KCTD15,0.0059
SCCPDH,0.00592
CROCC,0.00592
STX1B,0.00594
CDH22,0.00594
SIGIRR,0.00594
ZBTB25,0.00595
ID2,0.00595
ADA,0.00597
XCL1,0.00599
CHIC2,0.006
BIN1,0.00601
SBSN,0.00603
DBX2,0.00604
AADAC,0.00604
CYP4F12,0.00604
OVGP1,0.00607
TNFSF14,0.00607
KEAP1,0.00607
OXLD1,0.00607
SGTB,0.00609
HIST1H2BM,0.00609
STARD9,0.00611
PRB2,0.00612
TP73,0.00612
CACNB2,0.00613
C16orf86,0.00615
IL6ST,0.00616
MUSK,0.00616
CSPG5,0.00616
RCN3,0.00617
EVA1C,0.00617
TNP2,0.00618
CSNK1A1L,0.00619
ZNF576,0.00619
TEX26,0.00619
IGFL1,0.00621
MTOR,0.00623
PRSS37,0.00625
AKAP9,0.00626
DSTYK,0.0063
ZNF572,0.0063
ZNF777,0.0063
PAFAH1B2,0.00631
AASS,0.00632
DUSP11,0.00638
SP5,0.00639
CEP350,0.0064
PPP3CA,0.0064
C12orf71,0.00643
OTOL1,0.00645
LRRC41,0.00645
NCALD,0.00645
UMODL1,0.00646
ST3GAL1,0.00647
RHBDD3,0.00648
NAALADL1,0.00649
WWP2,0.0065
FAM110A,0.00651
NBPF3,0.00652
FSD2,0.00652
MLEC,0.00654
SPSB2,0.00654
ANXA4,0.00654
THEG,0.00657
KIF1C,0.00659
GDF6,0.00659
SPDYC,0.00659
TRAPPC2L,0.00659
GABRG3,0.0066
ZMYM6,0.00666
SIKE1,0.00668
AP3M1,0.00669
ABR,0.0067
MAP6,0.0067
OLAH,0.00672
SPTA1,0.00675
RPS6,0.00677
GATA6,0.00677
TYMP,0.00677
SERINC2,0.00682
KRTAP22-2,0.00683
ISOC2,0.00685
ITGA4,0.00686
ZNF229,0.00688
BHLHA15,0.00689
APOBEC4,0.0069
TMEM69,0.0069
PRB4,0.00694
TJP3,0.00695
MAATS1,0.00695
DHX15,0.00696
GPD1L,0.00696
PGPEP1,0.00697
NFKB1,0.00698
MCTP2,0.00699
BIRC3,0.007
PTRHD1,0.007
GALR1,0.00701
ACSM5,0.00703
HERC4,0.00703
FKBP10,0.00704
TMEM258,0.00705
EIF1B,0.00706
NPLOC4,0.00707
DNM3,0.00707
OPA3,0.00708
SLC1A1,0.00708
FASTKD3,0.00711
B3GALTL,0.00711
FOLR1,0.00712
HMBOX1,0.00713
ZDHHC3,0.00713
CBX7,0.00714
ALKBH8,0.00714
TSPAN31,0.00717
GIMAP7,0.00718
FMN2,0.0072
ARHGAP22,0.0072
GLI3,0.00721
SLC25A11,0.00722
OAS2,0.00722
TMEM120B,0.00724
IFIT2,0.00724
ATF2,0.00724
PALLD,0.00725
DPF3,0.00725
PIM1,0.00726
KPRP,0.00726
MYH1,0.00727
OCIAD1,0.00727
S1PR4,0.00729
CLEC2L,0.00729
KIF14,0.00729
STRA6,0.0073
LCE3C,0.0073
PLEKHG4B,0.0073
LIMK2,0.00731
EXOC3L1,0.00731
GUCA1C,0.00731
CHRDL2,0.00733
CD34,0.00734
SCN3B,0.00735
TMEM38A,0.00736
ARHGAP11B,0.00738
ANO9,0.0074
LRRC8D,0.00742
GOLPH3,0.00743
SUSD1,0.00745
ASCC2,0.00745
HNF4G,0.00746
PLD5,0.00749
NME9,0.0075
HNRNPU,0.0075
HSDL1,0.00752
SLC12A1,0.00752
ARHGDIA,0.00753
GNS,0.00755
C19orf26,0.00755
ZSCAN32,0.00758
PLA2G6,0.00758
PDE7B,0.0076
MYO6,0.00761
METTL6,0.00763
WDR20,0.00764
WDFY1,0.00765
AP5Z1,0.00765
CLEC4A,0.00766
ALPI,0.00768
COA1,0.00768
KNG1,0.00771
MRPS21,0.00772
DUSP6,0.00772
TRIM13,0.00773
MNX1,0.00774
DLGAP4,0.00774
MEGF11,0.00776
SLC35D1,0.00777
SLC16A3,0.00778
ACVRL1,0.00778
BTBD2,0.00779
CMTM2,0.0078
NFIX,0.0078
FGFR2,0.00781
PRLR,0.00782
MC5R,0.00783
TP53INP1,0.00784
CRISPLD2,0.00785
KCNT2,0.00786
FAT1,0.00786
NGF,0.00788
NPHP4,0.00789
C11orf24,0.00789
G6PC,0.0079
LRRC18,0.00791
ALKBH7,0.00791
RECQL,0.00791
APOL3,0.00794
FAM175A,0.00794
DEFB4A,0.00795
ZAR1,0.00796
SCD5,0.00797
KRT5,0.00798
GALC,0.00799
FGF5,0.00799
PALM2-AKAP2,0.00801
TMEM100,0.00802
TM4SF20,0.00803
NUP54,0.00804
DLX2,0.00805
MICU3,0.00806
RANBP17,0.00807
STYK1,0.00807
KDM4D,0.00808
TOX3,0.00809
ART1,0.00809
GJA9,0.00809
LYPD4,0.0081
TMEM39A,0.00812
NREP,0.00812
IL23R,0.00812
PON3,0.00813
ABHD16A,0.00819
PDCD6IP,0.0082
TBC1D32,0.00821
SNX2,0.00824
SPAG17,0.00826
LYAR,0.00826
ZNF296,0.00828
CHST3,0.00829
DSC1,0.0083
OXGR1,0.00831
LRCH1,0.00831
DUSP18,0.00831
PPP2R5C,0.00832
WNT3,0.00833
EPB41L3,0.00833
TCEA3,0.00833
CYB561D2,0.00833
N4BP2L1,0.00834
TYW1,0.00834
ZNF160,0.00836
HIF1AN,0.00836
KLHL9,0.00838
OCM,0.00841
KCTD13,0.00842
GFRAL,0.00844
CCSER2,0.00846
HINFP,0.00846
C1orf53,0.00846
SLC30A7,0.00847
FZD9,0.00849
ASTN1,0.00849
VPREB1,0.00851
HDAC5,0.00853
PTPN13,0.00855
DEFB127,0.00857
MOGAT3,0.00857
IRF7,0.00864
ADAM20,0.00865
EML1,0.00865
PPM1L,0.00866
HLA-DOB,0.00867
MARCH1,0.00869
ALG9,0.0087
ARHGEF26,0.00871
MTMR12,0.00871
ZNF285,0.00877
ARAP3,0.00878
PATZ1,0.00878
RASSF4,0.00881
ISL1,0.00881
PPIAL4G,0.00882
KLKB1,0.00883
NPHP3,0.00886
GSK3B,0.00887
HMGB2,0.00887
COL9A2,0.00887
RBBP8,0.00889
AVPI1,0.00891
SNX5,0.00892
ATP6V1D,0.00892
ZNF12,0.00894
PROSER1,0.00895
IRF2BP2,0.00895
CELF3,0.00895
COA4,0.00898
KIAA0922,0.00898
FBXO7,0.00898
SULT1B1,0.00898
TMEM213,0.00899
ANKRD54,0.00899
ZBTB12,0.009
TECR,0.009
ZNF44,0.00901
GPR171,0.00903
KRT16,0.00904
GPRIN3,0.00904
MTUS1,0.00904
EPHA3,0.00904
ANKRD34B,0.00904
PRSS23,0.00905
MAPKAPK5,0.00906
AKAP2,0.00907
KLHDC7B,0.00908
CLVS2,0.00908
LRRC52,0.00909
KRTAP19-5,0.00909
THAP1,0.00911
ASB7,0.00919
EFNA3,0.0092
CYP4F22,0.0092
SUN2,0.00921
SIRT4,0.00921
MMP21,0.00921
ARPC2,0.00922
JAM2,0.00922
OMD,0.00923
ARHGEF19,0.00924
TPD52L2,0.00925
RSPRY1,0.00926
EBNA1BP2,0.00926
COL9A3,0.00927
DMWD,0.00929
ADK,0.00929
PTPDC1,0.00932
EMR2,0.00932
RAB3GAP2,0.00933
GALNT3,0.00933
NDFIP2,0.00935
ZBBX,0.00936
KRAS,0.00936
LDB2,0.00937
FXYD2,0.00939
WNT2B,0.00939
STPG1,0.00939
NCKAP5,0.0094
ABCB5,0.00941
CCDC181,0.00945
TNRC6A,0.00945
MCF2L,0.00947
FSIP2,0.00948
GPR20,0.00948
CDH18,0.00948
TMEM256,0.0095
CIDEB,0.00952
UBE2G1,0.00952
KAAG1,0.00954
ZMYND11,0.00956
GPR139,0.00958
GNMT,0.00961
MB21D2,0.00962
UBE2Q2,0.00963
ZNF3,0.00963
HSD17B8,0.00964
PITPNB,0.00967
ARHGAP31,0.00967
FOXP2,0.00968
FAM109A,0.00968
PIGN,0.0097
FXR1,0.00973
PDE8A,0.00974
RNF157,0.00975
CNN3,0.00977
KLHDC8B,0.00977
KNOP1,0.00977
INMT,0.00978
PRR21,0.0098
IL24,0.00981
ZNF418,0.00982
SIGLEC5,0.00984
HEY2,0.00985
IGFL4,0.00985
SOBP,0.00987
ARNT,0.00987
PUS7L,0.00987
KCNK9,0.00987
PLCE1,0.0099
LSR,0.0099
KLK6,0.00991
DCBLD2,0.00991
PZP,0.00993
PPP1R18,0.00995
UBE2Z,0.00995
ZNF134,0.00997
TMEFF2,0.00998
TMIGD1,0.01
SIAH1,0.01002
SLC23A3,0.01003
MAPK12,0.01004
PMEPA1,0.01005
PLEKHH1,0.01005
HPD,0.01006
IL2,0.01007
TAS2R5,0.01009
LDOC1L,0.01011
PROX1,0.01014
PARP6,0.01014
TBX3,0.01015
RSPH1,0.01017
GAS2L1,0.01018
FAM129B,0.01019
SPOCD1,0.01021
VAMP4,0.01021
ARID1A,0.01022
PKP1,0.01023
AKR1A1,0.01024
XCR1,0.01024
NPPC,0.01025
AP2A2,0.01026
EN2,0.01029
ZNF70,0.01029
MLANA,0.0103
METTL18,0.0103
KIR3DL3,0.01031
CA11,0.01032
MARK2,0.01035
POTED,0.01036
MOS,0.01036
NINL,0.01036
MFNG,0.01037
C9orf171,0.01037
NIT2,0.01038
NTNG1,0.01038
GRHPR,0.01038
ZNF443,0.01039
CALCOCO2,0.01039
UBL5,0.0104
FAM83H,0.01041
ZNF280B,0.01044
SCUBE1,0.01044
COL11A1,0.01045
IFIH1,0.01046
CAMTA1,0.01046
LRRC31,0.01047
GPR56,0.0105
PTPRN,0.01051
LCE4A,0.01054
GTDC1,0.01054
WDR87,0.01056
TEKT3,0.0106
TRABD2B,0.0106
C4orf32,0.01062
STMN4,0.01063
LRPAP1,0.01063
C3orf35,0.01064
SPC24,0.01066
MOB4,0.01067
FKBP9,0.01072
ZNF682,0.01072
TGIF2,0.01073
C5orf66,0.01074
WISP2,0.01076
MCFD2,0.01076
FHL2,0.01076
SPTBN5,0.01078
RGL4,0.01079
FSTL5,0.0108
NDST3,0.0108
SCGB1D1,0.0108
FGFR1OP2,0.01081
ZBTB21,0.01081
DCAF8,0.01082
DENND1B,0.01082
SCN10A,0.01083
FILIP1,0.01084
GYPE,0.01084
ZNF197,0.01084
IFRD2,0.01085
DZIP3,0.01085
DKKL1,0.01086
ADTRP,0.01087
HIST1H2BH,0.01087
DUSP23,0.01088
DCTN2,0.01089
EGFL8,0.01089
SLC25A22,0.01091
TNFSF4,0.01092
CFL2,0.01097
CBFA2T3,0.01097
RBP7,0.01097
CLDN24,0.01099
MAP3K10,0.01099
CTNNA2,0.011
GNPAT,0.01104
RIC3,0.01105
TXNDC8,0.01105
CNTNAP3,0.01105
SPTLC2,0.01107
OMG,0.01108
PCBP2,0.01108
IL1RL1,0.01109
ATP6V1C1,0.0111
